trial_id,experiment,trial_type,item,root_type,adverb_type,polarity,condition,subject,argument_or_adjunct,target,verb,sentence,subject_gloss,argument_gloss,target_gloss,verb_gloss
exp3_i02_ideophonic_reduplication_affirmative,experiment_3,experimental,2,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Görevli,balkonu,foşur foşur,yıkadı,Görevli balkonu foşur foşur yıkadı.,officer,balcony,splashing,wash
exp3_i02_ideophonic_reduplication_negative,experiment_3,experimental,2,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Görevli,balkonu,foşur foşur,yıkamadı,Görevli balkonu foşur foşur yıkamadı.,officer,balcony,splashing,wash-NOT
exp3_i02_ideophonic_manner_affirmative,experiment_3,experimental,2,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Görevli,balkonu,iyice,yıkadı,Görevli balkonu iyice yıkadı.,officer,balcony,well,wash
exp3_i02_ideophonic_manner_negative,experiment_3,experimental,2,ideophonic,manner,negative,ideophonic__manner__negative,Görevli,balkonu,iyice,yıkamadı,Görevli balkonu iyice yıkamadı.,officer,balcony,well,wash-NOT
exp3_i02_ideophonic_temporal_affirmative,experiment_3,experimental,2,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Görevli,balkonu,dün sabah,yıkadı,Görevli balkonu dün sabah yıkadı.,officer,balcony,yesterday morning,wash
exp3_i02_ideophonic_temporal_negative,experiment_3,experimental,2,ideophonic,temporal,negative,ideophonic__temporal__negative,Görevli,balkonu,dün sabah,yıkamadı,Görevli balkonu dün sabah yıkamadı.,officer,balcony,yesterday morning,wash-NOT
exp3_i03_ideophonic_converbial_affirmative,experiment_3,experimental,3,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Adam,odasında,horuldayarak,uyudu,Adam odasında horuldayarak uyudu.,man,his room,huffing,sleep
exp3_i03_ideophonic_converbial_negative,experiment_3,experimental,3,ideophonic,converbial,negative,ideophonic__converbial__negative,Adam,odasında,horuldayarak,uyumadı,Adam odasında horuldayarak uyumadı.,man,his room,huffing,sleep-NOT
exp3_i03_ideophonic_reduplication_affirmative,experiment_3,experimental,3,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Adam,odasında,horul horul,uyudu,Adam odasında horul horul uyudu.,man,his room,huffing,sleep
exp3_i03_ideophonic_reduplication_negative,experiment_3,experimental,3,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Adam,odasında,horul horul,uyumadı,Adam odasında horul horul uyumadı.,man,his room,huffing,sleep-NOT
exp3_i03_ideophonic_manner_affirmative,experiment_3,experimental,3,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Adam,odasında,zorlukla,uyudu,Adam odasında zorlukla uyudu.,man,his room,with difficulty,sleep
exp3_i03_ideophonic_manner_negative,experiment_3,experimental,3,ideophonic,manner,negative,ideophonic__manner__negative,Adam,odasında,zorlukla,uyumadı,Adam odasında zorlukla uyumadı.,man,his room,with difficulty,sleep-NOT
exp3_i03_ideophonic_temporal_affirmative,experiment_3,experimental,3,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Adam,odasında,bütün gün,uyudu,Adam odasında bütün gün uyudu.,man,his room,all day,sleep
exp3_i03_ideophonic_temporal_negative,experiment_3,experimental,3,ideophonic,temporal,negative,ideophonic__temporal__negative,Adam,odasında,bütün gün,uyumadı,Adam odasında bütün gün uyumadı.,man,his room,all day,sleep-NOT
exp3_i04_ideophonic_converbial_affirmative,experiment_3,experimental,4,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Öğrenci,sınıfta,fısırdayarak,konuştu,Öğrenci sınıfta fısırdayarak konuştu.,student,class,murmuring,talk
exp3_i04_ideophonic_converbial_negative,experiment_3,experimental,4,ideophonic,converbial,negative,ideophonic__converbial__negative,Öğrenci,sınıfta,fısırdayarak,konuşmadı,Öğrenci sınıfta fısırdayarak konuşmadı.,student,class,murmuring,talk-NOT
exp3_i04_ideophonic_reduplication_affirmative,experiment_3,experimental,4,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Öğrenci,sınıfta,fısır fısır,konuştu,Öğrenci sınıfta fısır fısır konuştu.,student,class,murmuring,talk
exp3_i04_ideophonic_reduplication_negative,experiment_3,experimental,4,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Öğrenci,sınıfta,fısır fısır,konuşmadı,Öğrenci sınıfta fısır fısır konuşmadı.,student,class,murmuring,talk-NOT
exp3_i04_ideophonic_manner_affirmative,experiment_3,experimental,4,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Öğrenci,sınıfta,sessizce,konuştu,Öğrenci sınıfta sessizce konuştu.,student,class,silently,talk
exp3_i04_ideophonic_manner_negative,experiment_3,experimental,4,ideophonic,manner,negative,ideophonic__manner__negative,Öğrenci,sınıfta,sessizce,konuşmadı,Öğrenci sınıfta sessizce konuşmadı.,student,class,silently,talk-NOT
exp3_i04_ideophonic_temporal_affirmative,experiment_3,experimental,4,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Öğrenci,sınıfta,ders boyunca,konuştu,Öğrenci sınıfta ders boyunca konuştu.,student,class,during the lecture,talk
exp3_i04_ideophonic_temporal_negative,experiment_3,experimental,4,ideophonic,temporal,negative,ideophonic__temporal__negative,Öğrenci,sınıfta,ders boyunca,konuşmadı,Öğrenci sınıfta ders boyunca konuşmadı.,student,class,during the lecture,talk-NOT
exp3_i05_ideophonic_converbial_affirmative,experiment_3,experimental,5,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,At arabası,toprak yolda,tıngıdayarak,ilerledi,At arabası toprak yolda tıngıdayarak ilerledi.,horse cart,on the dirt road,rattling,move
exp3_i05_ideophonic_converbial_negative,experiment_3,experimental,5,ideophonic,converbial,negative,ideophonic__converbial__negative,At arabası,toprak yolda,tıngıdayarak,ilerlemedi,At arabası toprak yolda tıngıdayarak ilerlemedi.,horse cart,on the dirt road,rattling,move-NOT
exp3_i05_ideophonic_reduplication_affirmative,experiment_3,experimental,5,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,At arabası,toprak yolda,tıngır tıngır,ilerledi,At arabası toprak yolda tıngır tıngır ilerledi.,horse cart,on the dirt road,rattling,move
exp3_i05_ideophonic_reduplication_negative,experiment_3,experimental,5,ideophonic,reduplication,negative,ideophonic__reduplication__negative,At arabası,toprak yolda,tıngır tıngır,ilerlemedi,At arabası toprak yolda tıngır tıngır ilerlemedi.,horse cart,on the dirt road,rattling,move-NOT
exp3_i05_ideophonic_manner_affirmative,experiment_3,experimental,5,ideophonic,manner,affirmative,ideophonic__manner__affirmative,At arabası,toprak yolda,hızla,ilerledi,At arabası toprak yolda hızla ilerledi.,horse cart,on the dirt road,fast,move
exp3_i05_ideophonic_manner_negative,experiment_3,experimental,5,ideophonic,manner,negative,ideophonic__manner__negative,At arabası,toprak yolda,hızla,ilerlemedi,At arabası toprak yolda hızla ilerlemedi.,horse cart,on the dirt road,fast,move-NOT
exp3_i05_ideophonic_temporal_affirmative,experiment_3,experimental,5,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,At arabası,toprak yolda,tüm gün,ilerledi,At arabası toprak yolda tüm gün ilerledi.,horse cart,on the dirt road,all day,move
exp3_i05_ideophonic_temporal_negative,experiment_3,experimental,5,ideophonic,temporal,negative,ideophonic__temporal__negative,At arabası,toprak yolda,tüm gün,ilerlemedi,At arabası toprak yolda tüm gün ilerlemedi.,horse cart,on the dirt road,all day,move-NOT
exp3_i06_ideophonic_converbial_affirmative,experiment_3,experimental,6,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Oğlan,evde,zırıldayarak,ağladı,Oğlan evde zırıldayarak ağladı.,boy,home,bawling,cry
exp3_i06_ideophonic_converbial_negative,experiment_3,experimental,6,ideophonic,converbial,negative,ideophonic__converbial__negative,Oğlan,evde,zırıldayarak,ağlamadı,Oğlan evde zırıldayarak ağlamadı.,boy,home,bawling,cry-NOT
exp3_i06_ideophonic_reduplication_affirmative,experiment_3,experimental,6,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Oğlan,evde,zırıl zırıl,ağladı,Oğlan evde zırıl zırıl ağladı.,boy,home,bawling,cry
exp3_i06_ideophonic_reduplication_negative,experiment_3,experimental,6,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Oğlan,evde,zırıl zırıl,ağlamadı,Oğlan evde zırıl zırıl ağlamadı.,boy,home,bawling,cry-NOT
exp3_i06_ideophonic_manner_affirmative,experiment_3,experimental,6,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Oğlan,evde,sessizce,ağladı,Oğlan evde sessizce ağladı.,boy,home,silently,cry
exp3_i06_ideophonic_manner_negative,experiment_3,experimental,6,ideophonic,manner,negative,ideophonic__manner__negative,Oğlan,evde,sessizce,ağlamadı,Oğlan evde sessizce ağlamadı.,boy,home,silently,cry-NOT
exp3_i06_ideophonic_temporal_affirmative,experiment_3,experimental,6,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Oğlan,evde,tüm gün,ağladı,Oğlan evde tüm gün ağladı.,boy,home,all day,cry
exp3_i06_ideophonic_temporal_negative,experiment_3,experimental,6,ideophonic,temporal,negative,ideophonic__temporal__negative,Oğlan,evde,tüm gün,ağlamadı,Oğlan evde tüm gün ağlamadı.,boy,home,all day,cry-NOT
exp3_i07_ideophonic_converbial_affirmative,experiment_3,experimental,7,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Su,ocakta,fokurdayarak,kaynadı,Su ocakta fokurdayarak kaynadı.,water,stove,bubbling,boil
exp3_i07_ideophonic_converbial_negative,experiment_3,experimental,7,ideophonic,converbial,negative,ideophonic__converbial__negative,Su,ocakta,fokurdayarak,kaynamadı,Su ocakta fokurdayarak kaynamadı.,water,stove,bubbling,boil-NOT
exp3_i07_ideophonic_reduplication_affirmative,experiment_3,experimental,7,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Su,ocakta,fokur fokur,kaynadı,Su ocakta fokur fokur kaynadı.,water,stove,bubbling,boil
exp3_i07_ideophonic_reduplication_negative,experiment_3,experimental,7,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Su,ocakta,fokur fokur,kaynamadı,Su ocakta fokur fokur kaynamadı.,water,stove,bubbling,boil-NOT
exp3_i07_ideophonic_manner_affirmative,experiment_3,experimental,7,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Su,ocakta,hızlıca,kaynadı,Su ocakta hızlıca kaynadı.,water,stove,fast,boil
exp3_i07_ideophonic_manner_negative,experiment_3,experimental,7,ideophonic,manner,negative,ideophonic__manner__negative,Su,ocakta,hızlıca,kaynamadı,Su ocakta hızlıca kaynamadı.,water,stove,fast,boil-NOT
exp3_i07_ideophonic_temporal_affirmative,experiment_3,experimental,7,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Su,ocakta,tüm gece,kaynadı,Su ocakta tüm gece kaynadı.,water,stove,all night,boil
exp3_i07_ideophonic_temporal_negative,experiment_3,experimental,7,ideophonic,temporal,negative,ideophonic__temporal__negative,Su,ocakta,tüm gece,kaynamadı,Su ocakta tüm gece kaynamadı.,water,stove,all night,boil-NOT
exp3_i08_ideophonic_converbial_affirmative,experiment_3,experimental,8,ideophonic,converbial,affirmative,ideophonic__converbial__affirmative,Hemşire,hastanın esprisine,kıkırdayarak,güldü,Hemşire hastanın esprisine kıkırdayarak güldü.,nurse,joke by the patient,by giggling,laugh
exp3_i08_ideophonic_converbial_negative,experiment_3,experimental,8,ideophonic,converbial,negative,ideophonic__converbial__negative,Hemşire,hastanın esprisine,kıkırdayarak,gülmedi,Hemşire hastanın esprisine kıkırdayarak gülmedi.,nurse,joke by the patient,by giggling,laugh-NOT
exp3_i08_ideophonic_reduplication_affirmative,experiment_3,experimental,8,ideophonic,reduplication,affirmative,ideophonic__reduplication__affirmative,Hemşire,hastanın esprisine,kıkır kıkır,güldü,Hemşire hastanın esprisine kıkır kıkır güldü.,nurse,joke by the patient,giggling,laugh
exp3_i08_ideophonic_reduplication_negative,experiment_3,experimental,8,ideophonic,reduplication,negative,ideophonic__reduplication__negative,Hemşire,hastanın esprisine,kıkır kıkır,gülmedi,Hemşire hastanın esprisine kıkır kıkır gülmedi.,nurse,joke by the patient,giggling,laugh-NOT
exp3_i08_ideophonic_manner_affirmative,experiment_3,experimental,8,ideophonic,manner,affirmative,ideophonic__manner__affirmative,Hemşire,hastanın esprisine,sessizce,güldü,Hemşire hastanın esprisine sessizce güldü.,nurse,joke by the patient,silently,laugh
exp3_i08_ideophonic_manner_negative,experiment_3,experimental,8,ideophonic,manner,negative,ideophonic__manner__negative,Hemşire,hastanın esprisine,sessizce,gülmedi,Hemşire hastanın esprisine sessizce gülmedi.,nurse,joke by the patient,silently,laugh-NOT
exp3_i08_ideophonic_temporal_affirmative,experiment_3,experimental,8,ideophonic,temporal,affirmative,ideophonic__temporal__affirmative,Hemşire,hastanın esprisine,bütün gün,güldü,Hemşire hastanın esprisine bütün gün güldü.,nurse,joke by the patient,all day,laugh
exp3_i08_ideophonic_temporal_negative,experiment_3,experimental,8,ideophonic,temporal,negative,ideophonic__temporal__negative,Hemşire,hastanın esprisine,bütün gün,gülmedi,Hemşire hastanın esprisine bütün gün gülmedi.,nurse,joke by the patient,all day,laugh-NOT
exp3_i09_nonideophonic_converbial_affirmative,experiment_3,experimental,9,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Sarhoş,ağaçtan,yuvarlanarak,düştü,Sarhoş ağaçtan yuvarlanarak düştü.,drunk (one),tree,rolling,fall
exp3_i09_nonideophonic_converbial_negative,experiment_3,experimental,9,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Sarhoş,ağaçtan,yuvarlanarak,düşmedi,Sarhoş ağaçtan yuvarlanarak düşmedi.,drunk (one),tree,rolling,fall-NOT
exp3_i09_nonideophonic_reduplication_affirmative,experiment_3,experimental,9,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Sarhoş,ağaçtan,yuvarlana yuvarlana,düştü,Sarhoş ağaçtan yuvarlana yuvarlana düştü.,drunk (one),tree,rolling,fall
exp3_i09_nonideophonic_reduplication_negative,experiment_3,experimental,9,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Sarhoş,ağaçtan,yuvarlana yuvarlana,düşmedi,Sarhoş ağaçtan yuvarlana yuvarlana düşmedi.,drunk (one),tree,rolling,fall-NOT
exp3_i09_nonideophonic_manner_affirmative,experiment_3,experimental,9,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Sarhoş,ağaçtan,aniden,düştü,Sarhoş ağaçtan aniden düştü.,drunk (one),tree,suddenly,fall
exp3_i09_nonideophonic_manner_negative,experiment_3,experimental,9,nonideophonic,manner,negative,nonideophonic__manner__negative,Sarhoş,ağaçtan,aniden,düşmedi,Sarhoş ağaçtan aniden düşmedi.,drunk (one),tree,suddenly,fall-NOT
exp3_i09_nonideophonic_temporal_affirmative,experiment_3,experimental,9,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Sarhoş,ağaçtan,dün gece,düştü,Sarhoş ağaçtan dün gece düştü.,drunk (one),tree,last night,fall
exp3_i09_nonideophonic_temporal_negative,experiment_3,experimental,9,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Sarhoş,ağaçtan,dün gece,düşmedi,Sarhoş ağaçtan dün gece düşmedi.,drunk (one),tree,last night,fall-NOT
exp3_i10_nonideophonic_converbial_affirmative,experiment_3,experimental,10,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Kadın,dükkana,yürüyerek,gitti,Kadın dükkana yürüyerek gitti.,woman,store,walking,go
exp3_i10_nonideophonic_converbial_negative,experiment_3,experimental,10,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Kadın,dükkana,yürüyerek,gitmedi,Kadın dükkana yürüyerek gitmedi.,woman,store,walking,go-NOT
exp3_i10_nonideophonic_reduplication_affirmative,experiment_3,experimental,10,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Kadın,dükkana,yürüye yürüye,gitti,Kadın dükkana yürüye yürüye gitti.,woman,store,walking,go
exp3_i10_nonideophonic_reduplication_negative,experiment_3,experimental,10,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Kadın,dükkana,yürüye yürüye,gitmedi,Kadın dükkana yürüye yürüye gitmedi.,woman,store,walking,go-NOT
exp3_i10_nonideophonic_manner_affirmative,experiment_3,experimental,10,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Kadın,dükkana,zorla,gitti,Kadın dükkana zorla gitti.,woman,store,with difficulty,go
exp3_i10_nonideophonic_manner_negative,experiment_3,experimental,10,nonideophonic,manner,negative,nonideophonic__manner__negative,Kadın,dükkana,zorla,gitmedi,Kadın dükkana zorla gitmedi.,woman,store,with difficulty,go-NOT
exp3_i10_nonideophonic_temporal_affirmative,experiment_3,experimental,10,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Kadın,dükkana,akşam,gitti,Kadın dükkana akşam gitti.,woman,store,evening,go
exp3_i10_nonideophonic_temporal_negative,experiment_3,experimental,10,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Kadın,dükkana,akşam,gitmedi,Kadın dükkana akşam gitmedi.,woman,store,evening,go-NOT
exp3_i11_nonideophonic_converbial_affirmative,experiment_3,experimental,11,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Postacı,evin merdivenlerini,dolanarak,çıktı,Postacı evin merdivenlerini dolanarak çıktı.,postman,stairs of the house,winding,ascend
exp3_i11_nonideophonic_converbial_negative,experiment_3,experimental,11,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Postacı,evin merdivenlerini,dolanarak,çıkmadı,Postacı evin merdivenlerini dolanarak çıkmadı.,postman,stairs of the house,winding,ascend-NOT
exp3_i11_nonideophonic_reduplication_affirmative,experiment_3,experimental,11,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Postacı,evin merdivenlerini,dolana dolana,çıktı,Postacı evin merdivenlerini dolana dolana çıktı.,postman,stairs of the house,winding,ascend
exp3_i11_nonideophonic_reduplication_negative,experiment_3,experimental,11,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Postacı,evin merdivenlerini,dolana dolana,çıkmadı,Postacı evin merdivenlerini dolana dolana çıkmadı.,postman,stairs of the house,winding,ascend-NOT
exp3_i11_nonideophonic_manner_affirmative,experiment_3,experimental,11,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Postacı,evin merdivenlerini,güçlükle,çıktı,Postacı evin merdivenlerini güçlükle çıktı.,postman,stairs of the house,with difficulty,ascend
exp3_i11_nonideophonic_manner_negative,experiment_3,experimental,11,nonideophonic,manner,negative,nonideophonic__manner__negative,Postacı,evin merdivenlerini,güçlükle,çıkmadı,Postacı evin merdivenlerini güçlükle çıkmadı.,postman,stairs of the house,with difficulty,ascend-NOT
exp3_i11_nonideophonic_temporal_affirmative,experiment_3,experimental,11,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Postacı,evin merdivenlerini,bu sabah,çıktı,Postacı evin merdivenlerini bu sabah çıktı.,postman,stairs of the house,this morning,ascend
exp3_i11_nonideophonic_temporal_negative,experiment_3,experimental,11,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Postacı,evin merdivenlerini,bu sabah,çıkmadı,Postacı evin merdivenlerini bu sabah çıkmadı.,postman,stairs of the house,this morning,ascend-NOT
exp3_i12_nonideophonic_converbial_affirmative,experiment_3,experimental,12,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Hasta,koridorda,sekerek,yürüdü,Hasta koridorda sekerek yürüdü.,patient,hall,hobbling,walk
exp3_i12_nonideophonic_converbial_negative,experiment_3,experimental,12,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Hasta,koridorda,sekerek,yürümedi,Hasta koridorda sekerek yürümedi.,patient,hall,hobbling,walk-NOT
exp3_i12_nonideophonic_reduplication_affirmative,experiment_3,experimental,12,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Hasta,koridorda,seke seke,yürüdü,Hasta koridorda seke seke yürüdü.,patient,hall,hobbling,walk
exp3_i12_nonideophonic_reduplication_negative,experiment_3,experimental,12,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Hasta,koridorda,seke seke,yürümedi,Hasta koridorda seke seke yürümedi.,patient,hall,hobbling,walk-NOT
exp3_i12_nonideophonic_manner_affirmative,experiment_3,experimental,12,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Hasta,koridorda,dikkatlice,yürüdü,Hasta koridorda dikkatlice yürüdü.,patient,hall,carefully,walk
exp3_i12_nonideophonic_manner_negative,experiment_3,experimental,12,nonideophonic,manner,negative,nonideophonic__manner__negative,Hasta,koridorda,dikkatlice,yürümedi,Hasta koridorda dikkatlice yürümedi.,patient,hall,carefully,walk-NOT
exp3_i12_nonideophonic_temporal_affirmative,experiment_3,experimental,12,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Hasta,koridorda,bütün gün,yürüdü,Hasta koridorda bütün gün yürüdü.,patient,hall,all day,walk
exp3_i12_nonideophonic_temporal_negative,experiment_3,experimental,12,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Hasta,koridorda,bütün gün,yürümedi,Hasta koridorda bütün gün yürümedi.,patient,hall,all day,walk-NOT
exp3_i13_nonideophonic_converbial_affirmative,experiment_3,experimental,13,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Kuş,gökyüzünde,dönerek,uçtu,Kuş gökyüzünde dönerek uçtu.,bird,sky,coiling,fly
exp3_i13_nonideophonic_converbial_negative,experiment_3,experimental,13,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Kuş,gökyüzünde,dönerek,uçmadı,Kuş gökyüzünde dönerek uçmadı.,bird,sky,coiling,fly-NOT
exp3_i13_nonideophonic_reduplication_affirmative,experiment_3,experimental,13,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Kuş,gökyüzünde,döne döne,uçtu,Kuş gökyüzünde döne döne uçtu.,bird,sky,coiling,fly
exp3_i13_nonideophonic_reduplication_negative,experiment_3,experimental,13,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Kuş,gökyüzünde,döne döne,uçmadı,Kuş gökyüzünde döne döne uçmadı.,bird,sky,coiling,fly-NOT
exp3_i13_nonideophonic_manner_affirmative,experiment_3,experimental,13,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Kuş,gökyüzünde,keyifle,uçtu,Kuş gökyüzünde keyifle uçtu.,bird,sky,joyfully,fly
exp3_i13_nonideophonic_manner_negative,experiment_3,experimental,13,nonideophonic,manner,negative,nonideophonic__manner__negative,Kuş,gökyüzünde,keyifle,uçmadı,Kuş gökyüzünde keyifle uçmadı.,bird,sky,joyfully,fly-NOT
exp3_i13_nonideophonic_temporal_affirmative,experiment_3,experimental,13,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Kuş,gökyüzünde,tüm gün,uçtu,Kuş gökyüzünde tüm gün uçtu.,bird,sky,all day,fly
exp3_i13_nonideophonic_temporal_negative,experiment_3,experimental,13,nonideophonic,temporal,negative,nonideophonic__temporal__negative,Kuş,gökyüzünde,tüm gün,uçmadı,Kuş gökyüzünde tüm gün uçmadı.,bird,sky,all day,fly-NOT
exp3_i14_nonideophonic_converbial_affirmative,experiment_3,experimental,14,nonideophonic,converbial,affirmative,nonideophonic__converbial__affirmative,Atlet,bitiş çizgisine,zıplayarak,ulaştı,Atlet bitiş çizgisine zıplayarak ulaştı.,athlete,finish line,jumping,arrive
exp3_i14_nonideophonic_converbial_negative,experiment_3,experimental,14,nonideophonic,converbial,negative,nonideophonic__converbial__negative,Atlet,bitiş çizgisine,zıplayarak,ulaşmadı,Atlet bitiş çizgisine zıplayarak ulaşmadı.,athlete,finish line,jumping,arrive-NOT
exp3_i14_nonideophonic_reduplication_affirmative,experiment_3,experimental,14,nonideophonic,reduplication,affirmative,nonideophonic__reduplication__affirmative,Atlet,bitiş çizgisine,zıplaya zıplaya,ulaştı,Atlet bitiş çizgisine zıplaya zıplaya ulaştı.,athlete,finish line,jumping,arrive
exp3_i14_nonideophonic_reduplication_negative,experiment_3,experimental,14,nonideophonic,reduplication,negative,nonideophonic__reduplication__negative,Atlet,bitiş çizgisine,zıplaya zıplaya,ulaşmadı,Atlet bitiş çizgisine zıplaya zıplaya ulaşmadı.,athlete,finish line,jumping,arrive-NOT
exp3_i14_nonideophonic_manner_affirmative,experiment_3,experimental,14,nonideophonic,manner,affirmative,nonideophonic__manner__affirmative,Atlet,bitiş çizgisine,zorlukla,ulaştı,Atlet bitiş çizgisine zorlukla ulaştı.,athlete,finish line,with difficulty,arrive
exp3_i14_nonideophonic_manner_negative,experiment_3,experimental,14,nonideophonic,manner,negative,nonideophonic__manner__negative,Atlet,bitiş çizgisine,zorlukla,ulaşmadı,Atlet bitiş çizgisine zorlukla ulaşmadı.,athlete,finish line,with difficulty,arrive-NOT
exp3_i14_nonideophonic_temporal_affirmative,experiment_3,experimental,14,nonideophonic,temporal,affirmative,nonideophonic__temporal__affirmative,Atlet,bitiş çizgisine,vaktinde,ulaştı,Atlet bitiş çizgisine vaktinde ulaştı.,athlete,finish line,on time,arrive
