trial_id,experiment,trial_type,item,source_adverb_type,negation_position,continuation_type,condition,first_clause,continuation,sentence,first_clause_en,continuation_en,sentence_en
exp1_i03_temporal_continuation_locative_adverbial,experiment_1,experimental,3,temporal,continuation,locative_adverbial,temporal__neg_continuation__locative_adverbial,Su ocakta biraz önce kaynadı,sobada kaynamadı,"Su ocakta biraz önce kaynadı, sobada kaynamadı.",The water boiled on the stove a little while ago,it did not boil on the burner,"The water boiled on the stove a little while ago, it did not boil on the burner."
exp1_i04_ideophone_continuation_target_adverbial,experiment_1,experimental,4,ideophone,continuation,target_adverbial,ideophone__neg_continuation__target_adverbial,Oğlan okulda zırıl zırıl ağladı,sessizce ağlamadı,"Oğlan okulda zırıl zırıl ağladı, sessizce ağlamadı.",The boy cried in the school sobbing,he did not cry silently,"The boy cried in the school sobbing, he did not cry silently."
exp1_i04_ideophone_continuation_locative_adverbial,experiment_1,experimental,4,ideophone,continuation,locative_adverbial,ideophone__neg_continuation__locative_adverbial,Oğlan okulda zırıl zırıl ağladı,evde ağlamadı,"Oğlan okulda zırıl zırıl ağladı, evde ağlamadı.",The boy cried in the school sobbing,he did not cry at home,"The boy cried in the school sobbing, he did not cry at home."
exp1_i04_manner_continuation_target_adverbial,experiment_1,experimental,4,manner,continuation,target_adverbial,manner__neg_continuation__target_adverbial,Oğlan okulda sessizce ağladı,yüksek sesle ağlamadı,"Oğlan okulda sessizce ağladı, yüksek sesle ağlamadı.",The boy cried in the school silently,he did not cry loudly,"The boy cried in the school silently, he did not cry loudly."
exp1_i04_manner_continuation_locative_adverbial,experiment_1,experimental,4,manner,continuation,locative_adverbial,manner__neg_continuation__locative_adverbial,Oğlan okulda sessizce ağladı,evde ağlamadı,"Oğlan okulda sessizce ağladı, evde ağlamadı.",The boy cried in the school silently,he did not cry at home,"The boy cried in the school silently, he did not cry at home."
exp1_i04_temporal_continuation_target_adverbial,experiment_1,experimental,4,temporal,continuation,target_adverbial,temporal__neg_continuation__target_adverbial,Oğlan okulda dün ağladı,bugün ağlamadı,"Oğlan okulda dün ağladı, bugün ağlamadı.",The boy cried in the school yesterday,he did not cry today,"The boy cried in the school yesterday, he did not cry today."
exp1_i04_temporal_continuation_locative_adverbial,experiment_1,experimental,4,temporal,continuation,locative_adverbial,temporal__neg_continuation__locative_adverbial,Oğlan okulda dün ağladı,evde ağlamadı,"Oğlan okulda dün ağladı, evde ağlamadı.",The boy cried in the school yesterday,he did not cry at home,"The boy cried in the school yesterday, he did not cry at home."
exp1_i05_ideophone_continuation_target_adverbial,experiment_1,experimental,5,ideophone,continuation,target_adverbial,ideophone__neg_continuation__target_adverbial,Öğrenci sınıfta fısır fısır konuştu,yüksek sesle konuşmadı,"Öğrenci sınıfta fısır fısır konuştu, yüksek sesle konuşmadı.",The student talked in the classroom murmuring,she did not talk loudly,"The student talked in the classroom murmuring, she did not talk loudly."
exp1_i05_ideophone_continuation_locative_adverbial,experiment_1,experimental,5,ideophone,continuation,locative_adverbial,ideophone__neg_continuation__locative_adverbial,Öğrenci sınıfta fısır fısır konuştu,kantinde konuşmadı,"Öğrenci sınıfta fısır fısır konuştu, kantinde konuşmadı.",The student talked in the classroom murmuring,she did not talk in the cafeteria,"The student talked in the classroom murmuring, she did not talk in the cafeteria."
exp1_i05_manner_continuation_target_adverbial,experiment_1,experimental,5,manner,continuation,target_adverbial,manner__neg_continuation__target_adverbial,Öğrenci sınıfta sessizce konuştu,yüksek sesle konuşmadı,"Öğrenci sınıfta sessizce konuştu, yüksek sesle konuşmadı.",The student talked in the classroom silently,she did not talk loudly,"The student talked in the classroom silently, she did not talk loudly."
exp1_i05_manner_continuation_locative_adverbial,experiment_1,experimental,5,manner,continuation,locative_adverbial,manner__neg_continuation__locative_adverbial,Öğrenci sınıfta sessizce konuştu,kantinde konuşmadı,"Öğrenci sınıfta sessizce konuştu, kantinde konuşmadı.",The student talked in the classroom silently,she did not talk in the cafeteria,"The student talked in the classroom silently, she did not talk in the cafeteria."
exp1_i05_temporal_continuation_target_adverbial,experiment_1,experimental,5,temporal,continuation,target_adverbial,temporal__neg_continuation__target_adverbial,Öğrenci sınıfta dersten önce konuştu,ders sırasında konuşmadı,"Öğrenci sınıfta dersten önce konuştu, ders sırasında konuşmadı.",The student talked in the classroom before the lecture,she did not talk during the lecture,"The student talked in the classroom before the lecture, she did not talk during the lecture."
exp1_i05_temporal_continuation_locative_adverbial,experiment_1,experimental,5,temporal,continuation,locative_adverbial,temporal__neg_continuation__locative_adverbial,Öğrenci sınıfta dersten önce konuştu,kantinde konuşmadı,"Öğrenci sınıfta dersten önce konuştu, kantinde konuşmadı.",The student talked in the classroom before the lecture,she did not talk in the cafeteria,"The student talked in the classroom before the lecture, she did not talk in the cafeteria."
exp1_i06_ideophone_continuation_target_adverbial,experiment_1,experimental,6,ideophone,continuation,target_adverbial,ideophone__neg_continuation__target_adverbial,Tekne denizin ortasında cayır cayır yandı,hafifçe yanmadı,"Tekne denizin ortasında cayır cayır yandı, hafifçe yanmadı.",The boat burned in the middle of the sea fiercely,it did not burn lightly,"The boat burned in the middle of the sea fiercely, it did not burn lightly."
exp1_i06_ideophone_continuation_locative_adverbial,experiment_1,experimental,6,ideophone,continuation,locative_adverbial,ideophone__neg_continuation__locative_adverbial,Tekne denizin ortasında cayır cayır yandı,limanda yanmadı,"Tekne denizin ortasında cayır cayır yandı, limanda yanmadı.",The boat burned in the middle of the sea fiercely,it did not burn in the port,"The boat burned in the middle of the sea fiercely, it did not burn in the port."
exp1_i06_manner_continuation_target_adverbial,experiment_1,experimental,6,manner,continuation,target_adverbial,manner__neg_continuation__target_adverbial,Tekne denizin ortasında aniden yandı,yavaşça yanmadı,"Tekne denizin ortasında aniden yandı, yavaşça yanmadı.",The boat burned in the middle of the sea suddenly,it did not burn slowly,"The boat burned in the middle of the sea suddenly, it did not burn slowly."
exp1_i06_manner_continuation_locative_adverbial,experiment_1,experimental,6,manner,continuation,locative_adverbial,manner__neg_continuation__locative_adverbial,Tekne denizin ortasında aniden yandı,limanda yanmadı,"Tekne denizin ortasında aniden yandı, limanda yanmadı.",The boat burned in the middle of the sea suddenly,it did not burn in the port,"The boat burned in the middle of the sea suddenly, it did not burn in the port."
exp1_i06_temporal_continuation_target_adverbial,experiment_1,experimental,6,temporal,continuation,target_adverbial,temporal__neg_continuation__target_adverbial,Tekne denizin ortasında iki gün önce yandı,dün yanmadı,"Tekne denizin ortasında iki gün önce yandı, dün yanmadı.",The boat burned in the middle of the sea two days ago,it did not burn yesterday,"The boat burned in the middle of the sea two days ago, it did not burn yesterday."
exp1_i06_temporal_continuation_locative_adverbial,experiment_1,experimental,6,temporal,continuation,locative_adverbial,temporal__neg_continuation__locative_adverbial,Tekne denizin ortasında iki gün önce yandı,limanda yanmadı,"Tekne denizin ortasında iki gün önce yandı, limanda yanmadı.",The boat burned in the middle of the sea two days ago,it did not burn in the port,"The boat burned in the middle of the sea two days ago, it did not burn in the port."
exp1_i01_ideophone_first_clause_target_adverbial,experiment_1,experimental,1,ideophone,first_clause,target_adverbial,ideophone__neg_first_clause__target_adverbial,Adam odasında horul horul uyumadı,sessizce uyudu,"Adam odasında horul horul uyumadı, sessizce uyudu.",The man did not sleep in his room huffing and puffing,he slept silently,"The man did not sleep in his room huffing and puffing, he slept silently."
exp1_i01_ideophone_first_clause_locative_adverbial,experiment_1,experimental,1,ideophone,first_clause,locative_adverbial,ideophone__neg_first_clause__locative_adverbial,Adam odasında horul horul uyumadı,salonda uyudu,"Adam odasında horul horul uyumadı, salonda uyudu.",The man did not sleep in his room huffing and puffing,he slept in the living room,"The man did not sleep in his room huffing and puffing, he slept in the living room."
exp1_i01_manner_first_clause_target_adverbial,experiment_1,experimental,1,manner,first_clause,target_adverbial,manner__neg_first_clause__target_adverbial,Adam odasında güçlükle uyumadı,kolayca uyudu,"Adam odasında güçlükle uyumadı, kolayca uyudu.",The man did not sleep in his room with difficulty,he slept easily,"The man did not sleep in his room with difficulty, he slept easily."
exp1_i01_manner_first_clause_locative_adverbial,experiment_1,experimental,1,manner,first_clause,locative_adverbial,manner__neg_first_clause__locative_adverbial,Adam odasında güçlükle uyumadı,salonda uyudu,"Adam odasında güçlükle uyumadı, salonda uyudu.",The man did not sleep in his room with difficulty,he slept in the living room,"The man did not sleep in his room with difficulty, he slept in the living room."
exp1_i01_temporal_first_clause_target_adverbial,experiment_1,experimental,1,temporal,first_clause,target_adverbial,temporal__neg_first_clause__target_adverbial,Adam odasında sabah uyumadı,gece uyudu,"Adam odasında sabah uyumadı, gece uyudu.",The man did not sleep in his room in the morning,he slept at night,"The man did not sleep in his room in the morning, he slept at night."
exp1_i01_temporal_first_clause_locative_adverbial,experiment_1,experimental,1,temporal,first_clause,locative_adverbial,temporal__neg_first_clause__locative_adverbial,Adam odasında sabah uyumadı,salonda uyudu,"Adam odasında sabah uyumadı, salonda uyudu.",The man did not sleep in his room in the morning,he slept in the living room,"The man did not sleep in his room in the morning, he slept in the living room."
exp1_i02_ideophone_first_clause_target_adverbial,experiment_1,experimental,2,ideophone,first_clause,target_adverbial,ideophone__neg_first_clause__target_adverbial,At arabası toprak yolda tıngır tıngır ilerlemedi,sessizce ilerledi,"At arabası toprak yolda tıngır tıngır ilerlemedi, sessizce ilerledi.",The horse cart did not move on the dirt road rattling,it moved silently,"The horse cart did not move on the dirt road rattling, it moved silently."
exp1_i02_ideophone_first_clause_locative_adverbial,experiment_1,experimental,2,ideophone,first_clause,locative_adverbial,ideophone__neg_first_clause__locative_adverbial,At arabası toprak yolda tıngır tıngır ilerlemedi,asfalt yolda ilerledi,"At arabası toprak yolda tıngır tıngır ilerlemedi, asfalt yolda ilerledi.",The horse cart did not move on the dirt road rattling,it moved on the paved road,"The horse cart did not move on the dirt road rattling, it moved on the paved road."
exp1_i02_manner_first_clause_target_adverbial,experiment_1,experimental,2,manner,first_clause,target_adverbial,manner__neg_first_clause__target_adverbial,At arabası toprak yolda hızla ilerlemedi,yavaşça ilerledi,"At arabası toprak yolda hızla ilerlemedi, yavaşça ilerledi.",The horse cart did not move on the dirt road fast,it moved slowly,"The horse cart did not move on the dirt road fast, it moved slowly."
exp1_i02_manner_first_clause_locative_adverbial,experiment_1,experimental,2,manner,first_clause,locative_adverbial,manner__neg_first_clause__locative_adverbial,At arabası toprak yolda hızla ilerlemedi,asfalt yolda ilerledi,"At arabası toprak yolda hızla ilerlemedi, asfalt yolda ilerledi.",The horse cart did not move on the dirt road fast,it moved on the paved road,"The horse cart did not move on the dirt road fast, it moved on the paved road."
exp1_i02_temporal_first_clause_target_adverbial,experiment_1,experimental,2,temporal,first_clause,target_adverbial,temporal__neg_first_clause__target_adverbial,At arabası toprak yolda akşam vakti ilerlemedi,gündüz ilerledi,"At arabası toprak yolda akşam vakti ilerlemedi, gündüz ilerledi.",The horse cart did not move on the dirt road in the evening,it moved in the daytime,"The horse cart did not move on the dirt road in the evening, it moved in the daytime."
exp1_i02_temporal_first_clause_locative_adverbial,experiment_1,experimental,2,temporal,first_clause,locative_adverbial,temporal__neg_first_clause__locative_adverbial,At arabası toprak yolda akşam vakti ilerlemedi,asfalt yolda ilerledi,"At arabası toprak yolda akşam vakti ilerlemedi, asfalt yolda ilerledi.",The horse cart did not move on the dirt road in the evening,it moved on the paved road,"The horse cart did not move on the dirt road in the evening, it moved on the paved road."
exp1_i03_ideophone_first_clause_target_adverbial,experiment_1,experimental,3,ideophone,first_clause,target_adverbial,ideophone__neg_first_clause__target_adverbial,Su ocakta fokur fokur kaynamadı,sessizce kaynadı,"Su ocakta fokur fokur kaynamadı, sessizce kaynadı.",The water did not boil on the stove bubbling,it boiled silently,"The water did not boil on the stove bubbling, it boiled silently."
exp1_i03_ideophone_first_clause_locative_adverbial,experiment_1,experimental,3,ideophone,first_clause,locative_adverbial,ideophone__neg_first_clause__locative_adverbial,Su ocakta fokur fokur kaynamadı,sobada kaynadı,"Su ocakta fokur fokur kaynamadı, sobada kaynadı.",The water did not boil on the stove bubbling,it boiled on the burner,"The water did not boil on the stove bubbling, it boiled on the burner."
exp1_i03_manner_first_clause_target_adverbial,experiment_1,experimental,3,manner,first_clause,target_adverbial,manner__neg_first_clause__target_adverbial,Su ocakta çabucak kaynamadı,yavaşça kaynadı,"Su ocakta çabucak kaynamadı, yavaşça kaynadı.",The water did not boil on the stove quickly,it boiled slowly,"The water did not boil on the stove quickly, it boiled slowly."
exp1_i03_manner_first_clause_locative_adverbial,experiment_1,experimental,3,manner,first_clause,locative_adverbial,manner__neg_first_clause__locative_adverbial,Su ocakta çabucak kaynamadı,sobada kaynadı,"Su ocakta çabucak kaynamadı, sobada kaynadı.",The water did not boil on the stove quickly,it boiled on the burner,"The water did not boil on the stove quickly, it boiled on the burner."
exp1_i03_temporal_first_clause_target_adverbial,experiment_1,experimental,3,temporal,first_clause,target_adverbial,temporal__neg_first_clause__target_adverbial,Su ocakta biraz önce kaynamadı,şimdi kaynadı,"Su ocakta biraz önce kaynamadı, şimdi kaynadı.",The water did not boil on the stove a little while ago,it boiled now,"The water did not boil on the stove a little while ago, it boiled now."
exp1_i03_temporal_first_clause_locative_adverbial,experiment_1,experimental,3,temporal,first_clause,locative_adverbial,temporal__neg_first_clause__locative_adverbial,Su ocakta biraz önce kaynamadı,sobada kaynadı,"Su ocakta biraz önce kaynamadı, sobada kaynadı.",The water did not boil on the stove a little while ago,it boiled on the burner,"The water did not boil on the stove a little while ago, it boiled on the burner."
exp1_i04_ideophone_first_clause_target_adverbial,experiment_1,experimental,4,ideophone,first_clause,target_adverbial,ideophone__neg_first_clause__target_adverbial,Oğlan okulda zırıl zırıl ağlamadı,sessizce ağladı,"Oğlan okulda zırıl zırıl ağlamadı, sessizce ağladı.",The boy did not cry in the school sobbing,he cried silently,"The boy did not cry in the school sobbing, he cried silently."
exp1_i04_ideophone_first_clause_locative_adverbial,experiment_1,experimental,4,ideophone,first_clause,locative_adverbial,ideophone__neg_first_clause__locative_adverbial,Oğlan okulda zırıl zırıl ağlamadı,evde ağladı,"Oğlan okulda zırıl zırıl ağlamadı, evde ağladı.",The boy did not cry in the school sobbing,he cried at home,"The boy did not cry in the school sobbing, he cried at home."
exp1_i04_manner_first_clause_target_adverbial,experiment_1,experimental,4,manner,first_clause,target_adverbial,manner__neg_first_clause__target_adverbial,Oğlan okulda sessizce ağlamadı,yüksek sesle ağladı,"Oğlan okulda sessizce ağlamadı, yüksek sesle ağladı.",The boy did not cry in the school silently,he cried loudly,"The boy did not cry in the school silently, he cried loudly."
exp1_i04_manner_first_clause_locative_adverbial,experiment_1,experimental,4,manner,first_clause,locative_adverbial,manner__neg_first_clause__locative_adverbial,Oğlan okulda sessizce ağlamadı,evde ağladı,"Oğlan okulda sessizce ağlamadı, evde ağladı.",The boy did not cry in the school silently,he cried at home,"The boy did not cry in the school silently, he cried at home."
exp1_i04_temporal_first_clause_target_adverbial,experiment_1,experimental,4,temporal,first_clause,target_adverbial,temporal__neg_first_clause__target_adverbial,Oğlan okulda dün ağlamadı,bugün ağladı,"Oğlan okulda dün ağlamadı, bugün ağladı.",The boy did not cry in the school yesterday,he cried today,"The boy did not cry in the school yesterday, he cried today."
exp1_i04_temporal_first_clause_locative_adverbial,experiment_1,experimental,4,temporal,first_clause,locative_adverbial,temporal__neg_first_clause__locative_adverbial,Oğlan okulda dün ağlamadı,evde ağladı,"Oğlan okulda dün ağlamadı, evde ağladı.",The boy did not cry in the school yesterday,he cried at home,"The boy did not cry in the school yesterday, he cried at home."
exp1_i05_ideophone_first_clause_target_adverbial,experiment_1,experimental,5,ideophone,first_clause,target_adverbial,ideophone__neg_first_clause__target_adverbial,Öğrenci sınıfta fısır fısır konuşmadı,yüksek sesle konuştu,"Öğrenci sınıfta fısır fısır konuşmadı, yüksek sesle konuştu.",The student did not talk in the classroom murmuring,she talked loudly,"The student did not talk in the classroom murmuring, she talked loudly."
exp1_i05_ideophone_first_clause_locative_adverbial,experiment_1,experimental,5,ideophone,first_clause,locative_adverbial,ideophone__neg_first_clause__locative_adverbial,Öğrenci sınıfta fısır fısır konuşmadı,kantinde konuştu,"Öğrenci sınıfta fısır fısır konuşmadı, kantinde konuştu.",The student did not talk in the classroom murmuring,she talked in the cafeteria,"The student did not talk in the classroom murmuring, she talked in the cafeteria."
exp1_i05_manner_first_clause_target_adverbial,experiment_1,experimental,5,manner,first_clause,target_adverbial,manner__neg_first_clause__target_adverbial,Öğrenci sınıfta sessizce konuşmadı,yüksek sesle konuştu,"Öğrenci sınıfta sessizce konuşmadı, yüksek sesle konuştu.",The student did not talk in the classroom silently,she talked loudly,"The student did not talk in the classroom silently, she talked loudly."
exp1_i05_manner_first_clause_locative_adverbial,experiment_1,experimental,5,manner,first_clause,locative_adverbial,manner__neg_first_clause__locative_adverbial,Öğrenci sınıfta sessizce konuşmadı,kantinde konuştu,"Öğrenci sınıfta sessizce konuşmadı, kantinde konuştu.",The student did not talk in the classroom silently,she talked in the cafeteria,"The student did not talk in the classroom silently, she talked in the cafeteria."
exp1_i05_temporal_first_clause_target_adverbial,experiment_1,experimental,5,temporal,first_clause,target_adverbial,temporal__neg_first_clause__target_adverbial,Öğrenci sınıfta dersten önce konuşmadı,ders sırasında konuştu,"Öğrenci sınıfta dersten önce konuşmadı, ders sırasında konuştu.",The student did not talk in the classroom before the lecture,she talked during the lecture,"The student did not talk in the classroom before the lecture, she talked during the lecture."
exp1_i05_temporal_first_clause_locative_adverbial,experiment_1,experimental,5,temporal,first_clause,locative_adverbial,temporal__neg_first_clause__locative_adverbial,Öğrenci sınıfta dersten önce konuşmadı,kantinde konuştu,"Öğrenci sınıfta dersten önce konuşmadı, kantinde konuştu.",The student did not talk in the classroom before the lecture,she talked in the cafeteria,"The student did not talk in the classroom before the lecture, she talked in the cafeteria."
exp1_i06_ideophone_first_clause_target_adverbial,experiment_1,experimental,6,ideophone,first_clause,target_adverbial,ideophone__neg_first_clause__target_adverbial,Tekne denizin ortasında cayır cayır yanmadı,hafifçe yandı,"Tekne denizin ortasında cayır cayır yanmadı, hafifçe yandı.",The boat did not burn in the middle of the sea fiercely,it burned lightly,"The boat did not burn in the middle of the sea fiercely, it burned lightly."
exp1_i06_ideophone_first_clause_locative_adverbial,experiment_1,experimental,6,ideophone,first_clause,locative_adverbial,ideophone__neg_first_clause__locative_adverbial,Tekne denizin ortasında cayır cayır yanmadı,limanda yandı,"Tekne denizin ortasında cayır cayır yanmadı, limanda yandı.",The boat did not burn in the middle of the sea fiercely,it burned in the port,"The boat did not burn in the middle of the sea fiercely, it burned in the port."
exp1_i06_manner_first_clause_target_adverbial,experiment_1,experimental,6,manner,first_clause,target_adverbial,manner__neg_first_clause__target_adverbial,Tekne denizin ortasında aniden yanmadı,yavaşça yandı,"Tekne denizin ortasında aniden yanmadı, yavaşça yandı.",The boat did not burn in the middle of the sea suddenly,it burned slowly,"The boat did not burn in the middle of the sea suddenly, it burned slowly."
exp1_i06_manner_first_clause_locative_adverbial,experiment_1,experimental,6,manner,first_clause,locative_adverbial,manner__neg_first_clause__locative_adverbial,Tekne denizin ortasında aniden yanmadı,limanda yandı,"Tekne denizin ortasında aniden yanmadı, limanda yandı.",The boat did not burn in the middle of the sea suddenly,it burned in the port,"The boat did not burn in the middle of the sea suddenly, it burned in the port."
exp1_i06_temporal_first_clause_target_adverbial,experiment_1,experimental,6,temporal,first_clause,target_adverbial,temporal__neg_first_clause__target_adverbial,Tekne denizin ortasında iki gün önce yanmadı,dün yandı,"Tekne denizin ortasında iki gün önce yanmadı, dün yandı.",The boat did not burn in the middle of the sea two days ago,it burned yesterday,"The boat did not burn in the middle of the sea two days ago, it burned yesterday."
exp1_i06_temporal_first_clause_locative_adverbial,experiment_1,experimental,6,temporal,first_clause,locative_adverbial,temporal__neg_first_clause__locative_adverbial,Tekne denizin ortasında iki gün önce yanmadı,limanda yandı,"Tekne denizin ortasında iki gün önce yanmadı, limanda yandı.",The boat did not burn in the middle of the sea two days ago,it burned in the port,"The boat did not burn in the middle of the sea two days ago, it burned in the port."
